Engine Speed,Vehicle Speed,Gear
2973.973729,82.404651,4.0
2976.601294,82.518971,4.0
2978.904446,82.633165,4.0
2981.060425,82.74713,4.0
2982.763261,82.860836,4.0
2984.792401,82.974207,4.0
2987.388322,83.087338,4.0
2989.422373,83.20039,4.0
2991.268919,83.313205,4.0
2993.507697,83.40212,4.0
2995.29831,83.491029,4.0
2997.237564,83.579807,4.0
2998.237072,83.668496,4.0
3000.696969,83.78045,4.0
2752.090727,83.892298,4.0
2815.925037,83.920349,4.0
2792.472199,83.971157,4.0
3041.498103,84.013807,4.0
3012.07529,84.136058,4.0
3010.179954,84.248558,4.0
3011.220385,84.336123,4.0
3013.55597,84.423361,4.0
3015.43505,84.534248,4.0
3017.20265,84.644876,4.0
3019.483893,84.755217,4.0
3021.621704,84.865417,4.0
3023.041941,84.975414,4.0
3026.812674,85.084946,4.0
3028.552525,85.194745,4.0
3031.412239,85.304182,4.0
3034.014664,85.413605,4.0
3036.863083,85.522937,4.0
3038.704808,85.632253,4.0
3041.745529,85.741244,4.0
3043.876959,85.850282,4.0
3047.089683,85.959089,4.0
3049.085764,86.067997,4.0
3051.872748,86.176633,4.0
3054.344714,86.285243,4.0
3056.740405,86.393729,4.0
3059.139109,86.502072,4.0
3061.422325,86.610272,4.0
3063.820973,86.718297,4.0
3066.419544,86.826184,4.0
3068.773507,86.933994,4.0
3071.916069,87.041654,4.0
3074.09767,87.149406,4.0
3076.925064,87.256957,4.0
3078.582774,87.364505,4.0
3081.891607,87.471696,4.0
3083.711144,87.555418,4.0
3085.744385,87.639024,4.0
3088.526664,87.746192,4.0
3090.489973,87.853349,4.0
2840.413948,87.960258,4.0
3165.321556,87.977719,4.0
3093.329956,88.106239,4.0
3098.288279,88.212038,4.0
3100.191177,88.318478,4.0
3101.707366,88.424659,4.0
3123.566592,88.530472,4.0
3175.404485,88.641992,4.0
3176.488506,88.768497,4.0
3178.213762,88.894375,4.0
3121.588042,89.019822,4.0
3110.178167,89.126899,4.0
3090.398639,89.22986,4.0
3098.498197,89.324888,4.0
3077.483513,89.421976,4.0
3019.071622,89.510215,4.0
2935.426265,89.574915,4.0
2794.435193,89.607103,4.0
2589.868265,89.603344,4.0
2417.855048,89.57619,4.0
2278.99394,89.540014,4.0
2153.03667,89.499759,4.0
2037.636403,89.457171,4.0
1933.838872,89.413162,4.0
1831.510663,89.36827,4.0
1812.941051,89.32276,4.0
2112.02704,89.277193,4.0
2506.906863,89.234259,4.0
2857.952307,89.202733,4.0
3018.538408,89.214912,4.0
3001.261077,89.282663,4.0
3048.750551,89.343316,4.0
3086.952386,89.421284,4.0
3124.288603,89.512984,4.0
3154.181541,89.617105,4.0
3199.744206,89.729228,4.0
3198.962932,89.854774,4.0
3201.358163,89.979128,4.0
3204.427628,90.103185,4.0
3192.064586,90.227169,4.0
3142.704361,90.346098,4.0
3132.470972,90.449096,4.0
3086.789553,90.546939,4.0
2957.457629,90.62614,4.0
2965.55746,90.654949,4.0
2962.444132,90.686262,4.0
2859.867293,90.716159,4.0
2755.98731,90.718401,4.0
2673.548961,90.703806,4.0
2481.053841,90.680422,4.0
2332.196417,90.644936,4.0
2204.364478,90.604529,4.0
